transaction_id,customer_id,amount,payment_method,bank,failure_reason,retry_count,previous_transactions,previous_successful_transactions,risk_score,recovered
pay_000000,cust_00861,1923.81,upi,ICICI,temporary_bank_failure,1,1,0,0.49,0
pay_000001,cust_01295,375.62,card,KOTAK,temporary_bank_failure,2,15,5,0.065,0
pay_000002,cust_01131,4235.9,card,SBI,network_error,0,3,3,0.263,0
pay_000003,cust_01096,1426.87,card,AXIS,gateway_timeout,0,13,11,0.308,1
pay_000004,cust_01639,371.75,netbanking,ICICI,bank_timeout,1,15,14,0.234,0
pay_000005,cust_02170,702.42,netbanking,KOTAK,gateway_timeout,2,14,3,0.289,1
pay_000006,cust_00467,3629.06,upi,HDFC,temporary_bank_failure,1,1,1,0.278,1
pay_000007,cust_01239,6575.08,card,AXIS,temporary_bank_failure,1,12,11,0.137,0
pay_000008,cust_00331,1837.83,netbanking,ICICI,expired_card,2,16,6,0.094,1
pay_000009,cust_01483,824.16,upi,ICICI,invalid_card,2,19,4,0.127,0
pay_000010,cust_02136,580.22,card,AXIS,temporary_bank_failure,2,9,2,0.103,1
pay_000011,cust_02920,5606.55,card,AXIS,network_error,1,14,4,0.269,0
pay_000012,cust_00131,2590.42,upi,ICICI,insufficient_funds,1,16,16,0.18,1
pay_000013,cust_01686,1388.37,upi,KOTAK,invalid_card,2,7,5,0.101,1
pay_000014,cust_00770,1147.55,wallet,HDFC,expired_card,2,1,1,0.506,1
pay_000015,cust_02392,3094.75,netbanking,KOTAK,bank_timeout,1,0,0,0.417,1
pay_000016,cust_01516,3027.39,card,SBI,insufficient_funds,2,4,4,0.06,0
pay_000017,cust_02854,882.48,upi,SBI,card_blocked,0,2,2,0.386,0
pay_000018,cust_02434,724.95,card,SBI,temporary_bank_failure,2,10,2,0.305,1
pay_000019,cust_01216,754.82,upi,ICICI,gateway_timeout,0,15,0,0.214,0
pay_000020,cust_00956,1243.17,upi,HDFC,temporary_bank_failure,0,8,8,0.006,1
pay_000021,cust_02325,1041.24,upi,HDFC,insufficient_funds,1,3,3,0.216,0
pay_000022,cust_01185,6597.68,netbanking,ICICI,network_error,1,8,8,0.153,0
pay_000023,cust_00460,1208.31,upi,ICICI,network_error,1,13,8,0.119,0
pay_000024,cust_00022,665.32,netbanking,ICICI,expired_card,2,9,9,0.234,0
pay_000025,cust_02301,695.9,card,HDFC,bank_timeout,1,15,14,0.174,0
pay_000026,cust_00748,1560.6,card,ICICI,card_blocked,2,8,8,0.348,0
pay_000027,cust_02905,420.86,upi,AXIS,temporary_bank_failure,1,2,2,0.05,1
pay_000028,cust_00475,1723.14,wallet,AXIS,insufficient_funds,0,0,0,0.048,0
pay_000029,cust_01083,620.81,card,AXIS,temporary_bank_failure,1,19,0,0.359,1
pay_000030,cust_02559,4568.26,card,ICICI,insufficient_funds,0,10,7,0.337,0
pay_000031,cust_02048,1984.75,card,AXIS,account_closed,2,19,11,0.229,0
pay_000032,cust_02748,9865.7,upi,ICICI,bank_timeout,1,19,18,0.354,0
pay_000033,cust_00976,1506.34,netbanking,AXIS,account_closed,1,0,0,0.133,0
