transaction_id,amount,failure_reason,payment_method,bank,retry_count,risk_score,recovery_probability,expected_recovery_value,recoverable,automatically_actionable,action,decision_reason,actual_recovered,successful_recovery,recovered_amount
test_0,714.02,invalid_card,upi,HDFC,0,0.5,0.2657,189.72,True,False,escalate,Action satisfies recovery policy,True,False,0.0
test_1,2371.48,bank_timeout,card,SBI,1,0.041,0.5029,1192.53,True,True,retry,Action satisfies recovery policy,True,True,2371.48
test_2,3392.0,account_closed,card,HDFC,2,0.474,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_3,2607.66,invalid_card,card,SBI,1,0.32,0.3394,884.92,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_4,805.32,invalid_card,upi,HDFC,0,0.213,0.4738,381.54,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_5,1598.51,account_closed,card,SBI,0,0.24,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_6,2008.2,insufficient_funds,card,HDFC,0,0.088,0.5492,1102.99,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_7,1048.74,temporary_bank_failure,card,KOTAK,1,0.107,0.61,639.78,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_8,878.15,insufficient_funds,card,ICICI,2,0.096,0.1643,144.25,True,False,stop,Maximum retry count reached,False,False,0.0
test_9,3605.82,insufficient_funds,card,SBI,0,0.124,0.349,1258.56,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_10,6075.26,network_error,netbanking,ICICI,0,0.19,0.6985,4243.64,True,False,request_approval,High-value transaction requires merchant approval,True,False,0.0
test_11,1370.25,insufficient_funds,netbanking,SBI,0,0.326,0.3217,440.83,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_12,1723.14,insufficient_funds,wallet,AXIS,0,0.048,0.3801,654.92,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_13,1363.03,temporary_bank_failure,upi,ICICI,1,0.1,0.563,767.37,True,True,retry,Action satisfies recovery policy,True,True,1363.03
test_14,8298.95,insufficient_funds,upi,KOTAK,1,0.308,0.1812,1504.06,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_15,706.0,invalid_card,netbanking,HDFC,1,0.071,0.2571,181.53,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_16,867.41,bank_timeout,card,SBI,0,0.242,0.7127,618.22,True,True,retry,Action satisfies recovery policy,True,True,867.41
test_17,2327.87,invalid_card,upi,ICICI,2,0.157,0.1879,437.39,True,False,stop,Maximum retry count reached,False,False,0.0
test_18,781.97,bank_timeout,card,KOTAK,1,0.165,0.5929,463.63,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_19,3345.88,bank_timeout,netbanking,SBI,1,0.082,0.6041,2021.29,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_20,2060.51,account_closed,netbanking,SBI,0,0.078,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_21,4763.87,bank_timeout,upi,AXIS,0,0.121,0.4935,2350.85,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_22,6780.46,account_closed,card,SBI,2,0.059,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_23,1178.7,gateway_timeout,netbanking,ICICI,2,0.305,0.4915,579.33,True,False,stop,Maximum retry count reached,True,False,0.0
test_24,2371.23,invalid_card,wallet,SBI,0,0.351,0.458,1085.94,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_25,1128.48,network_error,card,ICICI,2,0.136,0.3387,382.18,True,False,stop,Maximum retry count reached,False,False,0.0
test_26,539.74,bank_timeout,netbanking,KOTAK,2,0.223,0.3895,210.24,True,False,stop,Maximum retry count reached,False,False,0.0
test_27,3663.62,network_error,card,HDFC,2,0.273,0.2837,1039.19,True,False,stop,Maximum retry count reached,True,False,0.0
test_28,2707.3,temporary_bank_failure,upi,KOTAK,0,0.404,0.5728,1550.73,True,True,retry,Action satisfies recovery policy,True,True,2707.3
test_29,2544.91,insufficient_funds,upi,AXIS,2,0.148,0.1452,369.62,True,False,stop,Maximum retry count reached,False,False,0.0
test_30,2458.62,temporary_bank_failure,upi,HDFC,0,0.265,0.6712,1650.29,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_31,2263.59,temporary_bank_failure,netbanking,AXIS,1,0.269,0.4857,1099.41,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_32,1614.4,card_blocked,upi,AXIS,0,0.073,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_33,3889.08,bank_timeout,card,KOTAK,2,0.051,0.3133,1218.49,True,False,stop,Maximum retry count reached,True,False,0.0
