threshold,attempts,successful_recoveries,success_rate,attempted_revenue,revenue_recovered,avg_expected_recovery_value,success_rate_pct
0.3,402,222,0.5522388059701493,758696.78,427372.47,1121.5737438472063,55.223880597014926
0.35,397,221,0.5566750629722922,750345.75,425701.57,1128.6189695947273,55.66750629722922
0.4,381,216,0.5669291338582677,719886.38,414980.86,1145.8234998975745,56.69291338582677
0.45,359,210,0.584958217270195,667525.7200000001,402687.04000000004,1153.6763879687858,58.495821727019504
0.5,324,187,0.5771604938271605,606851.91,361849.35,1188.5335351010235,57.71604938271605
0.55,275,168,0.610909090909091,501914.56,318097.38,1199.796938790185,61.09090909090909
0.6,208,130,0.625,385993.66000000003,245889.32,1266.2697070666893,62.5
0.65,136,91,0.6691176470588235,247852.09999999998,170782.04000000004,1304.6478829053046,66.91176470588235
0.7,89,62,0.6966292134831461,155276.41,112205.79,1289.8341548965514,69.66292134831461
0.75,28,25,0.8928571428571429,45557.3,41226.97,1261.4785336284806,89.28571428571429
0.8,3,3,1.0,4254.73,4254.73,1153.4676922234744,100.0
